🎀冰淇淋🎀,辽阳,挺好的，非常好👍👍，吴京演的真的很好,5.0,2019-02-09 23:59:50,
zMmbarbie,杭州,良心国产没错了,4.5,2019-02-09 23:59:50,
责任,运城,吹爆流浪地球   无论是正片科技感的带入（晨昏线的永夜）还是情感上的宣泄（人与人的关系以及使命感）都完美的诠释出具有中国元素的了科幻电影  演员 屈楚萧演技爆表  吴京和吴孟达不亏大牌影星实力在线  结尾冲击木星的时候吴京舍己为人更是泪点爆模,5.0,2019-02-09 23:59:49,
SwaggyRonin,肇庆,创意满分，但拍摄水平还有待提高,3.0,2019-02-09 23:59:48,1
梁真樂,开平,这题材不好，这女孩教坏很多人,2.5,2019-02-09 23:59:47,1
Liux,成都,巨幕比较震撼,4.5,2019-02-09 23:59:47,1
BJJ777283512,眉山,画面震撼，优美，超级赞。,5.0,2019-02-09 23:59:47,
张大锤,天津,给1分的真是太恶劣了，这部国产科幻片的开山之作虽然有很多不足，但是真的相当棒了，我选择力挺,4.0,2019-02-09 23:59:47,
牟人,福州,很好看    这部电影特效很不错   虽然我只看了半场,5.0,2019-02-09 23:59:46,2
雅奇雅奇,南京,好看，题材新颖,5.0,2019-02-09 23:59:46,
zwc8180,北京,真的很好，就是稍微有点虎头蛇尾，煽情再多一点点就更好了,4.5,2019-02-09 23:59:46,1
A     纪明全_,同安,好看，，，，。。,5.0,2019-02-09 23:59:44,1
C,苏州,最后一个泪点哭了 很好看啦,4.0,2019-02-09 23:59:39,2
ā,台山,怪不得有人说与《2012》是同一个类型，两者的共同点就是灾难片+一辆无敌的车 由于灾难片的缘故画面摇晃得让我有点眼睛疼 观影体验有些许差 但这是我个人的问题 整部影片看下来票价还是值的 我的泪点也被抓到了 特别是刘培强最后喊三二一的时候眼泪就止不住了 然后有一点想说的是影片故事里的团结精神还是有的 但是关于理科理论什么的 文科生就完全懵了 还是推荐观看,4.0,2019-02-09 23:59:39,2
生活仍在继续；,宜昌,好震撼，好夺目，好炫彩，感觉人生到达巅峰,5.0,2019-02-09 23:59:39,1
肖恩,昆明,好看，国产科幻片的新高度。,5.0,2019-02-09 23:59:36,
我就是孙大圣啊😜,石嘴山,满分👌希望好好珍惜地球🤗,5.0,2019-02-09 23:59:36,1
厌,淮安,很好看，超级感人。,5.0,2019-02-09 23:59:35,2
🍃🌸婧baby...💋,常州,真的是太好看了 全程一直盯着 没有一丝不好看的感觉 希望以后中国都能拍出这么好看的科幻片 笔芯,5.0,2019-02-09 23:59:35,
椰子蛋白帝王蟹,盘锦,剧情很好，我没看嘻嘻,5.0,2019-02-09 23:59:33,
噗通發不行,郴州,中国电影崛起 跟国际接轨 相信可以超过他们视觉冲击很强 剧情安排也合理 赞,5.0,2019-02-09 23:59:32,1
吴彦祖本祖,济宁,中国科幻片的希望,4.5,2019-02-09 23:59:30,1
🎀一米阳光🎀,大庆,开始不怎么好，后面挺感人的,4.5,2019-02-09 23:59:29,2
汪涛~阅朴,东阳,比星际穿越好看,5.0,2019-02-09 23:59:28,1
0°C,三明,好看， 值得一看,5.0,2019-02-09 23:59:26,
浅笑～,定州,好看，撼动人心,4.5,2019-02-09 23:59:23,2
茶画女💕,湘潭,不怎么好看 剧情不合情理  看睡着了 9.3分好评如何来的,0.5,2019-02-09 23:59:23,
M。😺,于都,电影效果很完美。剧情很好。,5.0,2019-02-09 23:59:22,2
JJYYSSDOOP,丰城,好看的很，不错,4.0,2019-02-09 23:59:20,
HL,普宁,所以看完了总结一下。这部片感觉是我看过国产片特效最好的，然后引入深思的背景和现实问题，确实是给我们带来一个警钟，所以珍惜时间。享受生命吧[捂脸]。,4.5,2019-02-09 23:59:19,1
